Date,Open,High,Low,Close,Adj Close,Volume
2011-07-12,14.01,14.01,14.64,13.9,14.21,372986.0
2011-07-13,13.95,13.95,14.15,13.91,14.01,145032.0
2011-07-14,13.99,13.99,14.07,13.7,13.95,245982.0
2011-07-15,13.81,13.81,14.09,13.5,13.99,344982.0
2011-07-16,13.72,13.72,13.81,13.5,13.81,235142.0
2011-07-17,13.16,13.16,13.75,13.02,13.72,458510.0
2011-07-18,13.48,13.48,13.92,12.51,13.16,988903.0
2011-07-19,13.85,13.85,14.7,13.44,13.48,948485.0
2011-07-20,13.69,13.69,14.0,13.4,13.85,317332.0
2011-07-21,13.61,13.61,13.78,13.4,13.69,341665.0
2011-07-22,13.7,13.7,13.81,13.45,13.61,207044.0
2011-07-23,13.68,13.68,13.76,13.51,13.7,306380.0
2011-07-24,13.98,13.98,14.1,13.6,13.68,369041.0
2011-07-25,14.05,14.05,14.72,13.76,13.98,448277.0
2011-07-26,13.88,13.88,14.05,13.77,14.05,233585.0
2011-07-27,13.94,13.94,14.13,13.85,13.88,160645.0
2011-07-28,13.49,13.49,13.94,13.31,13.94,445690.0
2011-07-29,13.5,13.5,13.7,13.33,13.49,98020.0
2011-07-30,13.53,13.53,13.63,13.45,13.5,82590.0
2011-07-31,13.35,13.35,14.9,12.83,13.53,618135.0
2011-08-01,13.09,13.09,13.55,12.85,13.35,286373.0
2011-08-02,12.05,12.05,13.1,11.5,13.09,709463.0
2011-08-03,9.26,9.26,12.16,8.7,12.05,943628.0
2011-08-04,10.75,10.75,11.15,9.27,9.26,529876.0
2011-08-05,9.8,9.8,10.99,9.5,10.75,315866.0
2011-08-06,6.55,6.55,9.95,5.74,9.8,801213.0
2011-08-07,7.9,7.9,9.47,6.01,6.55,693796.0
2011-08-08,7.8,7.8,8.16,7.05,7.9,263570.0
2011-08-09,9.99,9.99,12.1,7.67,7.8,1112123.0
2011-08-10,9.98,9.98,10.4,9.5,9.99,242598.0
2011-08-11,9.46,9.46,10.5,8.45,9.98,550577.0
2011-08-12,9.46,9.46,9.8,8.91,9.46,387476.0
2011-08-13,10.13,10.13,10.25,9.28,9.46,291543.0
2011-08-14,10.8,10.8,11.24,9.62,10.13,468353.0
2011-08-15,11.15,11.15,11.89,10.72,10.8,431203.0
2011-08-16,10.96,10.96,11.32,10.81,11.15,169357.0
2011-08-17,10.95,10.95,11.1,10.66,10.96,249104.0
2011-08-18,10.83,10.83,11.05,10.81,10.95,89515.0
2011-08-19,11.65,11.65,11.81,10.83,10.83,384289.0
2011-08-20,11.45,11.45,11.69,11.4,11.65,113880.0
2011-08-21,11.31,11.31,11.51,11.31,11.45,99220.0
2011-08-22,10.9,10.9,11.5,10.51,11.31,407895.0
2011-08-23,10.94,10.94,11.3,10.81,10.9,141019.0
2011-08-24,10.85,10.85,11.08,10.83,10.94,85516.0
2011-08-25,9.66,9.66,10.89,9.1,10.85,555232.0
2011-08-26,8.18,8.18,9.89,7.64,9.66,718309.0
2011-08-27,8.59,8.59,9.11,8.12,8.18,189777.0
2011-08-28,9.07,9.07,9.48,8.45,8.59,216706.0
2011-08-29,8.97,8.97,9.27,8.65,9.07,193411.0
2011-08-30,8.79,8.79,9.0,8.55,8.97,103338.0
2011-08-31,8.2,8.2,8.79,8.01,8.79,164091.0
2011-09-01,8.21,8.21,8.36,8.1,8.2,97874.0
2011-09-02,8.64,8.64,8.71,8.23,8.21,141975.0
2011-09-03,8.48,8.48,8.69,8.36,8.64,59247.0
2011-09-04,8.18,8.18,8.49,7.85,8.48,160817.0
2011-09-05,7.61,7.61,8.19,7.25,8.18,234672.0
2011-09-06,6.86,6.86,7.66,6.12,7.61,555289.0
2011-09-07,7.19,7.19,7.6,6.53,6.86,348836.0
2011-09-08,6.53,6.53,7.2,6.51,7.19,216888.0
2011-09-09,5.03,5.03,6.58,4.18,6.53,1154613.0
2011-09-10,4.77,4.77,5.49,4.63,5.03,223562.0
2011-09-11,5.86,5.86,7.4,4.6,4.77,873010.0
2011-09-12,6.08,6.08,6.58,5.41,5.86,385739.0
2011-09-13,5.8,5.8,6.09,5.7,6.08,138683.0
2011-09-14,5.62,5.62,5.85,5.32,5.8,243197.0
